Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
16,2,Minimax,6.545066833496094,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
16,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
16,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
16,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
17,1,Minimax,421.7257499694824,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
17,2,Minimax,7.00831413269043,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
17,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
17,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
17,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
18,1,Minimax,415.39621353149414,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
18,2,Minimax,7.013559341430664,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
18,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
18,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
18,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
19,1,Minimax,419.785737991333,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
19,2,Minimax,7.013082504272461,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
19,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
19,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
19,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
20,1,Minimax,412.0626449584961,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
20,2,Minimax,6.992816925048828,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
20,3,Minimax,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
20,4,Minimax,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
20,5,Minimax,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
