Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
15,2,AlphaBeta,4.504203796386719,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
15,3,AlphaBeta,1.01470947265625,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
15,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
15,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
16,1,AlphaBeta,62.60824203491211,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
16,2,AlphaBeta,3.990650177001953,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
16,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
16,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
16,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
17,1,AlphaBeta,59.19218063354492,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
17,2,AlphaBeta,4.595756530761719,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
17,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
17,4,AlphaBeta,0.9968280792236328,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
17,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
18,1,AlphaBeta,59.54694747924805,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
18,2,AlphaBeta,4.545450210571289,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
18,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
18,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
18,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
19,1,AlphaBeta,59.25583839416504,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
19,2,AlphaBeta,4.014015197753906,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
19,3,AlphaBeta,1.561880111694336,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
19,4,AlphaBeta,1.0075569152832031,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
19,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
20,1,AlphaBeta,59.76080894470215,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
20,2,AlphaBeta,3.5245418548583984,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
20,3,AlphaBeta,1.0080337524414062,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
20,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
20,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
